epoch,phase,train_loss,train_acc,val_loss,val_acc
1,head,5.245746458315785,0.3935309973045822,5.870066786325106,0.27956989247311825
2,head,4.597775041575059,0.48787061994609165,4.138488872076875,0.543010752688172
3,head,4.263892932079552,0.5714285714285714,4.3684122818772515,0.5268817204301075
4,finetune,3.784504641098475,0.6361185983827493,2.534928032146987,0.7903225806451613
5,finetune,2.649263393525486,0.7991913746630728,2.6484483890635993,0.8440860215053764
6,finetune,2.3069087932051997,0.8517520215633423,2.2957892097452635,0.8709677419354839
7,finetune,1.9748762894190868,0.8706199460916442,2.4177560088455037,0.8763440860215054
8,finetune,1.6896944357699781,0.9137466307277629,1.929505585342325,0.9032258064516129
9,finetune,1.6333672897513665,0.9177897574123989,1.7037941525059361,0.9032258064516129
10,finetune,1.6176031876124461,0.921832884097035,1.6873872703121555,0.9247311827956989
11,finetune,1.693459077022789,0.9097035040431267,1.8051809982586933,0.9193548387096774
12,finetune,1.537357280357186,0.9258760107816711,1.6468860808239187,0.9247311827956989
13,finetune,1.5325095107291908,0.9245283018867925,1.4130065569313623,0.9408602150537635
14,finetune,1.4055437167699767,0.9433962264150944,1.430572671274985,0.946236559139785
15,finetune,1.3092494126600076,0.9609164420485176,1.3463090401823803,0.9516129032258065
