epoch,phase,train_loss,train_acc,val_loss,val_acc
1,head,5.6730346538307215,0.3247978436657682,5.293301320845081,0.3924731182795699
2,head,4.91222456908933,0.4716981132075472,4.815668254770259,0.4731182795698925
3,head,4.579571302367671,0.5175202156334232,4.649247197694676,0.4838709677419355
4,finetune,3.3979721994734198,0.6873315363881402,2.3938133806310673,0.7849462365591398
5,finetune,2.433062638876573,0.8288409703504043,2.01844649545608,0.8763440860215054
6,finetune,1.846235108182758,0.8921832884097035,1.7246579547082224,0.9139784946236559
7,finetune,1.6429918667055525,0.9191374663072777,1.6604790751652052,0.9032258064516129
8,finetune,1.4564983517011862,0.9380053908355795,1.4339980848373906,0.9354838709677419
9,finetune,1.4527131611446165,0.9487870619946092,1.4733878104917464,0.9354838709677419
10,finetune,1.2801147294494342,0.9595687331536388,1.489440833368609,0.9354838709677419
11,finetune,1.191309221028639,0.9811320754716981,1.4282456815883677,0.9247311827956989
12,finetune,1.266415094108273,0.9636118598382749,1.255932842531512,0.9623655913978495
13,finetune,1.2723429623961127,0.9609164420485176,1.3040150737249723,0.9354838709677419
14,finetune,1.1833807014712105,0.9690026954177897,1.2473336124932894,0.9623655913978495
15,finetune,1.1909833457270722,0.9757412398921833,1.5669825833330873,0.9086021505376344
